CQUIRER_NAME,LOCATION_NAME,STREET_NUMBER ,STREET_NAME,CITY , POSTAL_CODE,PROVINCE_NAME,COUNTRIE_NAME ,IS_WHITE_LABEL_ACQUIRER
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - ST. LAURENT BRANCH - ST. LAURENT SHOPPING CENTRE                                  ,1200,ST. LAURENT                                                                                         ,OTTAWA                                  ,K1K 3B8   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ELMVALE SHOPPING CENTRE                                                                             ,1910,ST. LAURENT                                                                                         ,OTTAWA                                  ,K1G 1A4   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - TUNNEY'S BRANCH - R.H. COATES BUILDING #1 - TUNNEY'S PASTURE                      ,100,TUNNEY'S PASTURE DRWY                                                                               ,OTTAWA                                  ,K1A 0T6   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,JEAN TALON BUILDING #5 - TUNNEY'S PASTURE                                                           ,170,TUNNEY'S PASTURE DRWY                                                                               ,OTTAWA                                  ,K1A 0T6   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,UNIVERSITY OF OTTAWA                                                                                ,90,UNIVERSITY                                                                                          ,OTTAWA                                  ,K1N 1H3   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - PEMBROKE BRANCH                                                                   ,680,PEMBROKE                                                                                            ,PEMBROKE                                ,K8A 3M2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - SCARBOROUGH BRANCH                                                                ,410,PROGRESS                                                                                            ,SCARBOROUGH                             ,M1P 5J1   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - SCARBOURGH BRANCH - TOWN CENTRE                                                   ,200,TOWN CENTRE                                                                                         ,SCARBOROUGH                             ,M1P 4X8   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,IDA CROSSING BRIDGE SQUARE BUILDING                                                                 ,1250,STITTSVILLE MAIN                                                                                    ,STITTSVILLE                             ,K2S 1S9   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - BAY BRANCH                                                                        ,800,BAY                                                                                                 ,TORONTO                                 ,M5S 3A9   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - DANFORTH BRANCH                                                                   ,1577,DANFORTH                                                                                            ,TORONTO                                 ,M4C 1H7   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - RYERSON BRANCH                                                                    ,350,VICTORIA                                                                                            ,TORONTO                                 ,M5B 2K3   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,PLACE VANIER -TOWER B                                                                               ,355,NORTH RIVER                                                                                         ,VANIER                                  ,K1L 8C1   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,RCMP HEADQUARTERS                                                                                   ,1200,VANIER                                                                                              ,VANIER                                  ,K1L 1A1   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,LOUIS ST. LAURENT BUILDING                                                                          ,555,BLVD. DE LA CARRIERE                                                                                ,GATINEAU                                ,K1A 0K2   ,QUEBEC                                  ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA BANK - GATINEAU BRANCH - DRIVE THRU                                                         ,160,DE L'HÔPITAL                                                                                        ,GATINEAU                                ,J8T 8J1   ,QUEBEC                                  ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA BANK - GATINEAU BRANCH - LOBBY                                                              ,160,DE L'HÔPITAL                                                                                        ,GATINEAU                                ,J8T 8J1   ,QUEBEC                                  ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,PLACE DU PORTAGE PHASE II                                                                           ,165,DE L'HÔTEL-DE-VILLE                                                                                 ,GATINEAU                                ,J8X 3X2   ,QUEBEC                                  ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,PLACE DU PORTAGE PHASE IV                                                                           ,142,DU PORTAGE                                                                                          ,GATINEAU                                ,J8X 2K3   ,QUEBEC                                  ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ULTRAMAR GAS STATION                                                                                ,267,FRONT                                                                                               ,GATINEAU                                ,J9H 6Z9   ,QUEBEC                                  ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,PLACE DU PORTAGE PHASE III                                                                          ,11,LAURIER                                                                                             ,GATINEAU                                ,J8X 4A6   ,QUEBEC                                  ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,TERRACES DE LA CHAUDIERE                                                                            ,10,WELLINGTON                                                                                          ,GATINEAU                                ,J8X 4J4   ,QUEBEC                                  ,CANADA                                                      ,N
ARNSTEIN COMMUNITY CREDIT UNION LIMITED                                         ,BRANCH                                                                                              ,1,CREDIT UNION DRIVE                                                                                  ,PORT LORING                             ,P0H 1Y0   ,ONTARIO                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,AIRDRIE SIERRA SPRINGS                                                                              ,"1101, 2800      ",MAIN                                                                                                ,AIRDRIE                                 ,T4B 3G2   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,AIRDRIE                                                                                             ,404,MAIN                                                                                                ,AIRDRIE                                 ,T4B 3C3   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,ATHABASCA                                                                                           ,4910,50,ATHABASCA                               ,T9S 1E3   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BANFF CASCADE PLAZA LOWER LEVEL                                                                     ,317,BANFF                                                                                               ,BANFF                                   ,T1L 1B2   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BANFF CASCADE PLAZA MAIN FLOOR                                                                      ,317,BANFF                                                                                               ,BANFF                                   ,T1L 1B2   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BARRHEAD                                                                                            ,5141,50,BARRHEAD                                ,T7N 1A4   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BEAUMONT AGENCY                                                                                     ,5000,50,BEAUMONT                                ,T4X 1E6   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BEAVERLODGE                                                                                         ,302,10,BEAVERLODGE                             ,T0H 0C0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BLACK DIAMOND                                                                                       ,122,CENTRE                                                                                              ,BLACK DIAMOND                           ,T0L 0H0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BONNYVILLE                                                                                          ,4902,50,BONNYVILLE                              ,T9N 2G3   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BOW ISLAND                                                                                          ,128,5,BOW ISLAND                              ,T0K 0G0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BOYLE                                                                                               ,5115,3,BOYLE                                   ,T0A 0M0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BRETON                                                                                              ,4923,50,BRETON                                  ,T0C 0P0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BROOKS                                                                                              ,219,2,BROOKS                                  ,T1R 1B5   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,BRUDERHEIM                                                                                          ,4904,QUEEN                                                                                               ,BRUDERHEIM                              ,T0B 0S0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY DOWNTOWN 11TH AVE AGENCY                                                                    ,4 140           ,11,CALGARY                                 ,T2R 0B8   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY NORTH HILL                                                                                  ,217,16,CALGARY                                 ,T2M 0H5   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY SAIT CAMPUS                                                                                 ,"G106, 1301      ",16,CALGARY                                 ,T2M 0L4   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY UPTOWN 17TH AVENUE                                                                          ,1110,17,CALGARY                                 ,T2T 0B4   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY FOREST LAWN                                                                                 ,3620,17,CALGARY                                 ,T2A 0R9   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY 5TH AVENUE PLACE                                                                            ,420,2,CALGARY                                 ,T2P 3K4   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY DOUGLAS GLEN                                                                                ,"200, 11488      ",24,CALGARY                                 ,T2Z 4C9   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY SUNRIDGE                                                                                    ,"600, 2555       ",32,CALGARY                                 ,T1Y 7J6   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY MARDA LOOP                                                                                  ,2140,34,CALGARY                                 ,T2T 5P6   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY 6TH AVENUE                                                                                  ,"100, 801        ",6,CALGARY                                 ,T2P 3W2   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY CAMPUS                                                                                      ,3699,63,CALGARY                                 ,T3J 0G7   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY STEPHEN AVENUE                                                                              ,239,8,CALGARY                                 ,T2P 1B9   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY WEST SPRINGS                                                                                ,"202, 917        ",85,CALGARY                                 ,T3H 5Z9   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY BRENTWOOD                                                                                   ,3630,BRENTWOOD                                                                                           ,CALGARY                                 ,T2L 1K8   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY NORTHPOINTE                                                                                 ,"800, 388        ",COUNTRY HILLS                                                                                       ,CALGARY                                 ,T3K 5J6   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY CROWFOOT                                                                                    ,480,CROWFOOT                                                                                            ,CALGARY                                 ,T3G 5H7   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY DEERFOOT MEADOWS                                                                            ,"1200, 33        ",HERITAGE MEADOWS                                                                                    ,CALGARY                                 ,T2H 3B8   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY SOUTHLAND REGISTRATIONS LTD AGENCY                                                          ,9705,HORTON                                                                                              ,CALGARY                                 ,T2V 2X5   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY STAMPEDE STATION                                                                            ,1337,MACLEOD                                                                                             ,CALGARY                                 ,T2G 0K5   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY CHINOOK CENTRE                                                                              ,"264, 6455       ",MACLEOD                                                                                             ,CALGARY                                 ,T2H 0K3   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY MCKENZIE TOWNE                                                                              ,48,MCKENZIE TOWNE                                                                                      ,CALGARY                                 ,T2Z 3S7   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY ROCKY RIDGE                                                                                 ,"3000, 11595     ",ROCKYVALLEY                                                                                         ,CALGARY                                 ,T3G 5Y6   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY SADDLERIDGE                                                                                 ,50,SADDLETOWNE                                                                                         ,CALGARY                                 ,T3J 0H5   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY BEACON HILL                                                                                 ,11680,SARCEE                                                                                              ,CALGARY                                 ,T3R 0A1   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY SHAWNESSY                                                                                   ,"100, 303        ",SHAWVILLE                                                                                           ,CALGARY                                 ,T2Y 3W6   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY WESTHILLS                                                                                   ,601,STEWART                                                                                             ,CALGARY                                 ,T3H 3C8   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY CREEKSIDE                                                                                   ,12012,SYMONS VALLEY                                                                                       ,CALGARY                                 ,T3P 0A3   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,UNIVERSITY OF CALGARY                                                                               ,2500,UNIVERSITY                                                                                          ,CALGARY                                 ,T2N 1N4   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY WALDEN                                                                                      ,"300, 151        ",WALDEN                                                                                              ,CALGARY                                 ,T2X 0R2   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CALGARY WESTWINDS                                                                                   ,3660,WESTWINDS                                                                                           ,CALGARY                                 ,T3J 5H3   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CAMROSE                                                                                             ,7300,48,CAMROSE                                 ,T4V 4W2   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CANMORE                                                                                             ,"104, 1240       ",RAILWAY                                                                                             ,CANMORE                                 ,T1W 1P4   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CARDSTON                                                                                            ,24,2,CARDSTON                                ,T0K 0K0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CAROLINE                                                                                            ,5039,50,CAROLINE                                ,T0M 0M0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CARSTAIRS                                                                                           ,103,10,CARSTAIRS                               ,T0M 0N0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CASTOR                                                                                              ,4913,50,CASTOR                                  ,T0C 0X0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CHESTERMERE                                                                                         ,600,100 MARINA                                                                                          ,CHESTERMERE                             ,T1X 0R9   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CLARESHOLM                                                                                          ,115,49,CLARESHOLM                              ,T0L 0T0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,COALDALE                                                                                            ,1821,20,COALDALE                                ,T1M 1N1   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,COCHRANE                                                                                            ,280,5,COCHRANE                                ,T4C 1B1   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,COLD LAKE                                                                                           ,6501,51,COLD LAKE                               ,T9M 1C8   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CONSORT                                                                                             ,4911,50,CONSORT                                 ,T0C 1B0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CORONATION                                                                                          ,5026,VICTORIA                                                                                            ,CORONATION                              ,T0C 1C0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,CROSSFIELD                                                                                          ,1214,RAILWAY                                                                                             ,CROSSFIELD                              ,T0M 0S0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,DAYSLAND                                                                                            ,5033,50,DAYSLAND                                ,T0B 1A0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,DIDSBURY                                                                                            ,1820,20,DIDSBURY                                ,T0M 0W0   ,ALBERTA                                 ,CANADA                                                      ,N
ATB FINANCIAL                                                                   ,DRAYTON VALLEY                                                                                      ,5017,51,DRAYTON VALLEY                          ,T7A 1S2   ,ALBERTA                                 ,CANADA                                                      ,N
